region_id,region_display,region_name,region_type,year,adlt_incar_rt,afford_le030_rct,afford_le080_rct,afford_le120_rct,crime_all_rt,crime_prop_rt,crime_viol_rt,gross_rent_0_1beds,gross_rent_2_3beds,hh_alone_pct,hh_inc_med_adj,hh_inc_own_med_adj,hh_inc_rent_med_adj,hh_u18_pct,hp_first_fhava_pct,hp_first_hi_pct,hp_first_orig,hp_first_orig_lmi_app_pct,hp_first_orig_lmi_nbhd_pct,hp_first_orig_rt,hpi_1f,hpi_4f,hpi_al,hpi_cn,hpi_ot,income_diversity_ratio,lp_all,lp_fam14condo_initial,lp_fam14condo_rate,lp_fam14condo_repeat,med_r_1f,med_r_4f,med_r_cn,med_r_ot,nb_permit_res_units,pct_prof_ela,pct_prof_math,pfn_fam14condo,pfn_fam14condo_rate,pop_65p_pct,pop_bornstate_pct,pop_commute_carfree_pct,pop_commute_time_avg,pop_disabled_pct,pop_discon_youth_pct,pop_edu_collp_pct,pop_edu_nohs_pct,pop_foreign_pct,pop_num,pop_pov_65p_pct,pop_pov_pct,pop_pov_u18_pct,pop_race_asian_pct,pop_race_black_pct,pop_race_div_idx,pop_race_hisp_pct,pop_race_white_pct,pop16_laborforce_pct,pop16_unemp_pct,population_density,priv_evic_amt_sought_med_adj,priv_evic_filing_rt,priv_evic_filings,prox_park_pct,prox_subway_pct,rburden_mod_ami_81_120,rburden_mod_ami_le80,rburden_sev_ami_81_120,rburden_sev_ami_le80,refi_hi_pct,refi_orig,refi_orig_rt,rent_burden_med,rent_burden_mod_pct,rent_burden_sev_pct,rent_change,rent_gross_med_adj,rent_gross_recent_med_adj,rent_pct_nycha,reo,serious_viol_rate,shd_420c_props,shd_420c_units,shd_421a_props,shd_421a_units,shd_all_sub_props,shd_all_sub_units,shd_ex_2024_2029_props,shd_ex_2024_2029_units,shd_ex_2030_2039_props,shd_ex_2030_2039_units,shd_ex_2040_later_props,shd_ex_2040_later_units,shd_hud_finins_props,shd_hud_finins_units,shd_hud_pbrap_props,shd_hud_pbrap_units,shd_lihtc_props,shd_lihtc_units,shd_ml_props,shd_ml_units,shd_nyc_prog_props,shd_ph_props,shd_ph_units,total_viol_rate,unit_num,unit_occ_own_pct,unit_occ_rent_sevcrowd_pct,unit_vac_rent_pct,units_cert,volume_1f,volume_4f,volume_al,volume_cn,volume_ot,voucher_pct
606,NYC,New York City,City,2007-2011,,,,,,,,"$1,380","$1,540",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
606,NYC,New York City,City,2008,"1,177.60",7.4%,50.9%,78.6%,14.7,9.6,5.1,,,33.5%,"$69,810","$111,910","$53,840",31.6%,5.5%,4.4%,"32,945",23.8%,7.4%,25,,,,,,5.9,"14,842","11,328",16.9,"2,632","$600,890","$355,070","$1,022,080","$154,770",139,,,,,12.4%,49.6%,68.3%,39.4,8.4%,,32.7%,21.7%,36.4%,"8,363,710",18.6%,18.2%,26.5%,11.8%,23.3%,0.73,27.7%,35.0%,63.5%,7.21%,27.8,,,,,,17.9%,30.2%,3.7%,43.0%,9.6%,"19,510",14.8,30.1%,23.2%,26.9%,,"$1,430","$1,800",,"1,886",59.1,,,,,,,,,,,,,,,,,,,,,,,,269.3,"3,350,926",33.8%,,3.7%,"23,356","9,576","10,805","36,420","14,556","1,483",
606,NYC,New York City,City,2008-2012,,,,,,,,"$1,400","$1,570",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
606,NYC,New York City,City,2009,"1,181.40",7.2%,45.2%,77.5%,13.3,8.6,4.6,,,33.3%,"$68,030","$110,070","$52,260",31.4%,16.1%,2.8%,"24,461",20.3%,10.6%,18.4,,,,,,5.9,"20,596","15,995",23.2,"3,355","$557,450","$316,120","$842,980","$134,670",3,,,,,12.1%,49.8%,68.4%,39.1,8.2%,,34.0%,20.8%,35.7%,"8,391,881",18.0%,18.7%,27.1%,11.9%,23.0%,0.73,27.6%,35.3%,63.7%,10.20%,27.9,,,,,,19.8%,30.8%,4.0%,44.2%,2.3%,"33,523",25.2,30.6%,23.5%,27.5%,,"$1,480","$1,890",,"1,455",63.9,,,,,,,,,,,,,,,,,,,,,,,,272.1,"3,375,629",33.6%,4.0%,3.8%,"23,320","8,138","8,430","26,748","9,304",876,7.1%
606,NYC,New York City,City,2009-2013,,,,,,,,"$1,430","$1,600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
606,NYC,New York City,City,2010,"1,076.60",6.6%,44.7%,78.0%,12.9,8.2,4.7,,,31.6%,"$65,160","$107,510","$50,780",31.5%,20.8%,0.9%,"27,030",22.4%,9.7%,20.2,,,,,,5.9,"17,124","11,895",19.1,"4,136","$554,470","$300,790","$828,840","$134,240","7,331",,,,,12.2%,48.5%,69.4%,38.7,7.4%,,33.4%,20.4%,37.2%,"8,184,899",17.2%,20.1%,30.0%,12.7%,22.9%,0.74,28.7%,33.2%,62.9%,11.19%,27.2,"$3,699",99,"191,619",,,22.4%,29.9%,3.3%,45.7%,1.7%,"26,506",19.9,31.9%,24.5%,29.1%,,"$1,510","$1,910",,"1,042",60.2,,,,,,,,,,,,,,,,,,,,,,,,262.5,"3,370,647",32.1%,4.2%,4.4%,"22,859","7,514","7,811","27,665","11,110","1,230",6.9%
606,NYC,New York City,City,2010-2014,,,,,,,,"$1,450","$1,620",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
606,NYC,New York City,City,2011,"1,054.10",5.9%,46.8%,79.5%,13.1,8.2,4.9,,,32.6%,"$64,290","$105,160","$49,250",31.3%,21.3%,1.0%,"24,701",22.4%,9.5%,18.4,,,,,,6.1,"12,273","6,725",13.4,"4,618","$532,940","$288,130","$825,410","$138,110","9,065",,,"79,541",94.2,12.3%,48.4%,70.3%,39.1,7.8%,,34.1%,20.3%,37.2%,"8,244,910",19.0%,20.9%,29.8%,12.7%,22.8%,0.74,28.8%,33.1%,63.1%,11.22%,27.4,"$3,727",105.3,"200,809",,,20.3%,30.0%,2.7%,46.9%,2.6%,"26,813",20,32.5%,23.9%,30.6%,,"$1,520","$1,900",,231,60.1,,,,,,,,,,,,,,,,,,,,,,,,261.7,"3,368,809",31.3%,4.2%,4.0%,"16,667","5,827","6,627","24,271","10,551","1,266",6.5%
606,NYC,New York City,City,2011-2015,,,,,,,,"$1,480","$1,650",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
606,NYC,New York City,City,2012,"1,080.60",7.1%,48.7%,78.3%,13.7,8.6,5.1,,,33.3%,"$64,880","$102,860","$51,260",30.5%,18.0%,0.9%,"24,661",19.2%,9.6%,18.4,,,,,,6,"12,827","6,490",14.2,"5,564","$535,410","$296,390","$905,100","$151,550","13,491",,,"77,001",90.9,12.5%,48.4%,69.8%,39.3,7.6%,,34.7%,20.4%,37.6%,"8,336,697",19.1%,21.2%,31.4%,13.0%,22.6%,0.74,28.9%,32.8%,63.6%,10.63%,27.8,"$3,776",103.8,"198,603",,,23.5%,29.5%,5.1%,46.7%,2.5%,"33,812",25.2,32.2%,24.1%,30.0%,,"$1,520","$1,840",,196,53.4,,,,,,,,,,,,,,,,,,,,,,,,220.7,"3,385,281",31.7%,4.1%,3.6%,"9,716","6,654","6,938","26,058","10,606","1,860",6.4%
606,NYC,New York City,City,2012-2016,,,,,,,,"$1,500","$1,670",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
606,NYC,New York City,City,2013,"1,066.00",5.9%,47.8%,76.1%,13.7,8.6,5.1,,,32.9%,"$65,470","$106,330","$51,290",30.5%,13.9%,1.8%,"28,189",18.4%,8.5%,21,,,,,,6.2,"16,588","8,644",18.6,"7,185","$554,210","$310,300","$950,820","$177,000","17,553",27.2%,35.2%,"69,840",82.1,12.8%,48.6%,70.9%,39.7,7.6%,,35.7%,19.6%,37.0%,"8,405,837",18.8%,20.9%,29.8%,13.4%,22.4%,0.74,28.9%,32.6%,63.5%,9.80%,28,"$3,762",105.5,"198,283",,,20.1%,30.3%,3.8%,46.5%,1.7%,"27,888",20.8,32.2%,24.4%,29.6%,,"$1,540","$1,910",,346,47.6,,,,,,,,,,,,,,,,,,,,,,,,201.1,"3,394,486",32.0%,4.4%,3.5%,"15,026","7,889","8,281","29,645","11,485","1,990",6.4%
606,NYC,New York City,City,2013-2017,,,,,,,,"$1,530","$1,700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
606,NYC,New York City,City,2014,988.5,5.3%,40.4%,72.9%,13.1,8.4,4.7,,,32.3%,"$65,580","$106,860","$50,990",29.5%,12.7%,6.5%,"26,016",21.9%,8.5%,19.3,,,,,,6.2,"13,558","6,249",15.2,"6,743","$566,710","$346,460","$1,008,450","$202,180","25,587",31.1%,40.0%,"43,282",50.7,12.9%,48.4%,70.8%,40.1,8.0%,,35.9%,19.5%,37.2%,"8,491,079",19.3%,20.9%,29.6%,13.7%,22.3%,0.74,29.0%,32.3%,63.3%,8.25%,28.3,"$3,703",102.2,"192,623",,,25.4%,30.6%,4.1%,48.0%,3.2%,"11,194",8.3,32.7%,24.9%,30.2%,,"$1,580","$2,000",,437,49,,,,,,,,,,,,,,,,,,,,,,,,210.1,"3,438,742",31.2%,4.1%,3.4%,"13,321","7,528","8,097","28,385","10,733","2,027",6.2%
606,NYC,New York City,City,2014-2018,,,,,,,,"$1,570","$1,740",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
606,NYC,New York City,City,2015,,5.7%,36.2%,70.1%,13,8.2,4.8,,,32.5%,"$68,900","$111,680","$53,460",29.6%,14.0%,3.5%,"27,278",21.1%,8.7%,20.2,,,,,,6.3,"12,684","5,774",14.2,"6,404","$617,780","$383,100","$1,112,220","$257,460","55,147",31.3%,39.1%,"36,689",42.7,13.2%,48.1%,71.1%,40.8,7.6%,,36.8%,19.1%,37.6%,"8,550,405",18.1%,20.0%,28.6%,14.0%,22.0%,0.74,29.1%,32.1%,63.8%,7.44%,28.5,"$3,721",100.5,"191,722",,,24.6%,30.5%,4.7%,47.7%,2.2%,"16,766",12.4,32.0%,24.3%,29.5%,,"$1,630","$2,100",,454,47.7,,,,,,,,,,,,,,,,,,,,,,,,228.7,"3,447,978",31.6%,4.8%,3.5%,"16,099","7,538","7,353","27,849","10,950","2,008",6.3%
606,NYC,New York City,City,2015-2019,,,,,,,,"$1,520","$1,700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
606,NYC,New York City,City,2016,,5.8%,39.1%,70.6%,12.5,7.8,4.7,,,32.4%,"$71,960","$112,910","$55,940",29.1%,13.5%,3.5%,"28,125",21.5%,8.5%,20.7,,,,,,6.5,"11,914","4,841",13.3,"6,671","$626,840","$397,350","$1,161,500","$290,370","15,532",41.4%,41.4%,"38,794",44.9,13.5%,47.9%,70.8%,41.4,8.2%,,37.0%,18.5%,37.5%,"8,537,673",18.4%,18.9%,26.6%,14.0%,22.0%,0.75,29.2%,31.8%,63.8%,6.79%,28.4,"$3,708",95.8,"185,021",,,22.7%,30.5%,4.5%,47.3%,1.3%,"18,497",13.6,31.9%,24.2%,29.3%,,"$1,650","$2,160",,470,48.9,,,,,,,,,,,,,,,,,,,,,,,,236.4,"3,463,870",32.0%,4.6%,3.6%,"23,690","8,686","8,060","29,447","11,073","1,628",6.3%
606,NYC,New York City,City,2016-2020,,,,,,,,"$1,610","$1,790",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
606,NYC,New York City,City,2017,,7.1%,35.5%,69.5%,11.9,7.5,4.4,,,32.2%,"$73,000","$117,410","$56,500",28.8%,10.6%,4.2%,29108,21.2%,7.3%,21.4,,,,,,6.7,10347,4078,11.4,5850,"$659,540","$417,710","$1,169,180","$279,080","21,542",42.0%,40.0%,"50,016",57.5,14.3%,48.4%,70.1%,41.8,7.9%,,37.3%,18.1%,37.1%,8622698,18.0%,18.0%,25.2%,14.4%,21.8%,0.75,29.2%,31.7%,63.8%,6.43%,28.7,"$3,721",86.2,167673,75.9%,74.3%,22.0%,31.5%,4.2%,45.6%,1.7%,14321,10.5,31.7%,24.7%,28.4%,,"$1,650","$2,300",,482,50.1,,,,,,,,,,,,,,,,,,,,,,,,260.8,3497344,32.7%,4.6%,3.5%,"25,581",9717,8844,32312,12502,1249,6.1%
606,NYC,New York City,City,2017-2021,,,,,,,,"$1,640","$1,830",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
606,NYC,New York City,City,2018,,7.0%,40.9%,77.0%,11.7,7.4,4.3,,,32.2%,"$75,070","$118,560","$59,250",28.3%,9.8%,5.1%,27683,8.4%,23.1%,20.3,,,,,,6.6,8820,3609,9.7,4858,"$676,610","$426,560","$1,059,050","$305,950","19,522",49.4%,46.4%,48553,55.6,14.8%,48.1%,70.0%,42,7.7%,,39.0%,17.3%,36.8%,"8,398,748",18.7%,17.3%,23.8%,14.1%,21.7%,0.75,29.2%,31.9%,63.5%,5.74%,28,"$3,742",81.6,159961,,,22.8%,31.4%,2.1%,44.9%,2.5%,16172,11.8,31.4%,24.5%,28.1%,,"$1,700","$2,280",,,53.5,,,,,,,,,,,,,,,,,,,,,,,,289.7,3519453,32.8%,4.5%,3.4%,"28,597",10275,9242,"31,233","10,421",1295,6.3%
606,NYC,New York City,City,2018-2022,,,,,,,,"$1,680","$1,870",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
606,NYC,New York City,City,2019,,7.4%,40.7%,76.0%,11.7,7.3,4.4,,,32.9%,"$80,340","$123,750","$63,390",27.1%,10.2%,6.0%,27640,7.5%,19.2%,20.2,,,,,,6.3,7958,3440,8.7,4154,"$694,550","$436,120","$1,117,070","$289,400","28,675",49.6%,49.4%,42167,48.3,15.4%,48.7%,70.5%,41.7,7.7%,,39.2%,16.8%,36.2%,8336817,18.4%,16.0%,22.2%,14.3%,21.7%,0.75,29.1%,31.9%,64.0%,5.15%,27.8,"$3,775",68.1,133633,,,22.8%,31.1%,3.1%,44.1%,2.9%,23477,17.2,30.1%,24.0%,26.2%,,"$1,720","$2,320",,,85.6,,,,,,,,,,,,,,,,,,,,,,,,307.7,3546601,31.9%,4.5%,3.3%,"25,135",8526,7463,"26,303","9,350",964,6.1%
606,NYC,New York City,City,2020,,6.8%,41.5%,74.3%,10.9,6.9,4.1,,,,,,,,11.0%,3.1%,24259,8.3%,18.5%,17.6,,,,,,6.2,3383,1173,3.6,2020,"$711,330","$455,250","$993,750","$253,230","21,422",,,23698,26.8,,,,,,,,,,,,,,,,,,,,,,"$4,970",32.4,64724,,,19.6%,30.0%,3.9%,44.4%,0.8%,45360,33,,,,,"$1,790","$2,400",,,66.4,,,,,,,,,,,,,,,,,,,,,,,,211.4,,,,,"20,598",7955,6367,"22,609","7,575",712,6.0%
606,NYC,New York City,City,2021,,5.6%,43.3%,74.7%,11.8,7.4,4.4,,,33.6%,"$74,900","$112,870","$58,790",25.8%,8.1%,4.0%,40805,8.8%,19.0%,29.7,,,,,,6.4,4445,1478,4.6,2624,"$749,080","$473,680","$1,088,040","$265,170","23,463",,,17802,20,16.3%,48.7%,62.2%,39.8,8.5%,,41.0%,16.1%,36.4%,8467513,17.9%,18.0%,23.8%,14.3%,20.2%,0.76,29.1%,30.9%,62.5%,11.76%,28.2,"$6,112",19.1,38315,,,19.7%,29.7%,3.6%,45.5%,0.9%,52503,38.2,32.2%,24.1%,30.1%,,"$1,760","$2,350",,,87.9,,,,,,,,,,,,,,,,,,,,,,,,350.7,3641931,33.3%,5.3%,4.5%,"28,382",9670,7307,"32,527","14,388",1162,
606,NYC,New York City,City,2022,,5.1%,47.4%,77.9%,14.3,9.2,5.2,,,34.1%,"$77,550","$118,790","$62,180",25.7%,7.0%,3.3%,"33,972",11.2%,19.5%,24.6,,,,,,6.6,5610,2180,5.9,3067,"$747,530","$466,680","$1,058,070","$259,560","68,668",43.6%,41.9%,38729,43.5,16.7%,48.0%,65.3%,40.7,9.1%,,41.4%,16.4%,36.8%,"8,335,897",19.5%,18.3%,24.5%,14.8%,20.3%,0.76,29.1%,30.5%,63.3%,6.41%,27.8,"$6,144",50.8,102527,,,18.4%,28.1%,3.4%,44.0%,1.5%,"15,794",11.4,31.2%,22.6%,29.5%,,"$1,750","$2,370",,,100.2,,,,,,,,,,,,,,,,,,,,,,,,351.8,"3,679,063",32.7%,5.4%,3.2%,"26,075",10922,10512,"36,075","13,272",1369,
606,NYC,New York City,City,2023,,,,,14.2,9,5.3,,,,,,,,,,,,,,,,,,,,,,,,"$710,000","$445,000","$996,680","$228,330",16348,52.5%,52.3%,30253,33.7,,,,,,,,,,,,,,,,,,,,,,"$5,490",61.1,123347,,,,,,,,,,,,,,,,8.1%,,123.3,,78714,4633,178060,13164,1065640,599,44599,,82753,,138524,346,33083,942,85969,,178849,260,95246,5861,696,193650,397.6,,,,,28631,8834,8344,27461,9280,1003,
601,MN,Manhattan,Borough,2000,"2,740.50",,,,32.2,23.8,8.4,,,,"$85,560",,,19.7%,,,,,,,100,100,100,100,100,,351,143,3.6,42,"$5,204,900","$467,560","$885,590","$106,960","1,652",,,,,12.2%,,82.5%,30.5,,,49.4%,,29.4%,"1,529,375",,19.9%,,9.4%,15.2%,0.68,27.0%,46.0%,,8.44%,,,,,,,,,,,,,,24.3%,,20.0%,,"$1,400",,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,20.2%,,,"5,057",59,155,"3,017","2,521",282,
601,MN,Manhattan,Borough,2001,,,,,28.6,21.2,7.4,,,,,,,,,,,,,,98.3,104.6,114.6,114.4,121.6,,253,115,3,41,"$3,355,940","$237,510","$972,360","$146,280",2296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5859,45,156,3000,2555,244,
601,MN,Manhattan,Borough,2002,,,,,26.8,19.8,7,,,,,,,,,,,,,,94.2,115.2,125.5,125.2,136.9,,304,178,4.4,52,"$3,188,100","$280,490","$973,210","$120,510","2,621",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,866",75,211,"4,893","4,216",391,
601,MN,Manhattan,Borough,2003,,,,,26.3,19.7,6.6,,,,,,,,,,,,,,119.4,140.1,132.1,129.2,176.9,,226,110,2.8,43,"$4,216,250","$387,980","$805,810","$157,440",2942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4718,65,194,6995,6277,459,
